id,reviews,rating
20581903,64,91.0
20583343,24,95.0
20583443,59,99.0
20583769,26,91.0
20583998,11,84.0
20584333,23,99.0
20586647,80,93.0
20587133,19,99.0
20590800,97,98.0
20591404,154,94.0
20597491,53,93.0
20600357,44,96.0
20604989,78,95.0
20605308,18,97.0
20607819,83,95.0
20608117,12,98.0
20614043,40,96.0
20614820,29,92.0
20615932,15,99.0
20616888,73,96.0
20619757,91,95.0
20624287,18,94.0
20624427,56,99.0
20625087,19,97.0
20631204,23,95.0
20634950,12,100.0
20636416,80,99.0
20636888,77,95.0
20639628,144,93.0
20639792,148,93.0
20639914,147,91.0
20640353,68,97.0
20641332,27,96.0
20641534,184,97.0
20641793,29,96.0
20650006,21,96.0
20651049,12,100.0
20651581,25,98.0
20653090,17,100.0
20653520,38,96.0
20659193,20,96.0
20662043,21,91.0
20663542,15,96.0
20663839,38,92.0
20665380,18,99.0
20665530,45,97.0
20667684,91,84.0
20671003,13,98.0
20674622,21,98.0
20678183,85,97.0
20678724,135,98.0
20678811,76,97.0
20679134,68,97.0
20679396,123,94.0
20680045,10,74.0
20682663,56,91.0
20685563,46,100.0
20688175,52,99.0
20688422,19,92.0
20688624,151,96.0
20689395,34,100.0
20689498,16,94.0
20695930,48,99.0
20696496,36,95.0
20698073,136,95.0
20703786,34,93.0
20704394,21,90.0
20705026,105,93.0
20707361,12,97.0
20708246,22,100.0
20710208,67,93.0
20712652,42,90.0
20714088,66,96.0
20714304,38,95.0
20714517,18,99.0
20720290,10,100.0
20722067,26,98.0
20723015,59,96.0
20725853,12,92.0
20726546,26,88.0
20728100,26,95.0
20728525,63,94.0
20729216,141,96.0
20729530,153,89.0
20729981,11,84.0
20730848,98,93.0
20738759,29,97.0
20739147,14,100.0
20741509,13,83.0
20743194,68,91.0
20743305,10,91.0
20743703,122,96.0
20744654,109,91.0
20744948,35,74.0
20745208,21,87.0
20754847,15,87.0
20755255,11,95.0
20758217,14,100.0
20758508,13,100.0
20760187,31,88.0
20761244,24,96.0
20761266,70,99.0
20761296,45,98.0
20761768,46,96.0
20763209,23,96.0
20763432,99,98.0
20763577,20,92.0
20763877,18,100.0
20772071,85,88.0
20772204,253,95.0
20772583,23,100.0
20773084,111,92.0
20773149,88,90.0
20773223,15,87.0
20775370,10,100.0
20780688,103,84.0
20783233,88,97.0
20786225,46,88.0
20788473,106,97.0
20788590,15,91.0
20793502,107,97.0
20796595,51,95.0
20799199,10,98.0
20800449,69,96.0
20801754,13,100.0
20801864,15,97.0
20803845,106,97.0
20804915,39,95.0
20811403,18,100.0
20812365,82,95.0
20812387,124,92.0
20812587,60,98.0
20814067,149,99.0
20816032,13,98.0
20816828,33,98.0
20816972,36,98.0
20817201,74,95.0
20817614,18,83.0
20819020,85,95.0
20819116,217,91.0
20820417,17,91.0
20821762,47,99.0
20825876,62,97.0
20826700,63,97.0
20827801,13,98.0
20830442,43,97.0
20832523,48,98.0
20833958,20,98.0
20835690,10,100.0
20835909,24,97.0
20836787,15,96.0
20840987,15,100.0
20843577,17,95.0
20844580,81,95.0
20844601,59,89.0
20845108,93,96.0
20846343,13,97.0
20846687,22,94.0
20848135,116,96.0
20849060,162,99.0
20849101,11,98.0
20857866,34,94.0
20860184,17,95.0
20861411,138,97.0
20861983,22,93.0
20862285,22,95.0
20862947,53,96.0
20864878,55,86.0
20872030,16,96.0
20874350,176,95.0
20874859,25,95.0
20876208,114,89.0
20881375,21,99.0
20881488,10,98.0
20882090,51,92.0
20884086,78,84.0
20884271,47,98.0
20886177,10,84.0
20886432,32,99.0
20886536,85,95.0
20887028,114,89.0
20895982,13,95.0
20896858,25,87.0
20897776,12,93.0
20898641,10,97.0
20900400,10,100.0
20900545,103,98.0
20900984,66,100.0
20904409,139,98.0
20912512,20,99.0
20912583,49,86.0
20912594,27,93.0
20914425,12,100.0
20915427,29,98.0
20915909,45,100.0
20917712,79,98.0
20918376,39,99.0
20919726,55,97.0
20926888,29,88.0
20927619,48,94.0
20928429,30,95.0
20928494,19,97.0
20932707,10,100.0
20933293,190,95.0
20935059,107,96.0
20941726,62,98.0
20942129,64,95.0
20942352,129,96.0
20944553,10,98.0
20947287,11,91.0
20947437,101,95.0
20957575,48,91.0
20958075,36,98.0
20958399,10,98.0
20958738,11,89.0
20960110,93,96.0
20960203,82,99.0
20964409,60,97.0
20968000,16,100.0
20968166,212,98.0
20969370,28,98.0
20970017,18,91.0
20970822,278,98.0
20971442,43,93.0
20978416,41,97.0
20979453,15,90.0
20982422,13,98.0
20982564,17,96.0
20982862,15,89.0
20983663,55,97.0
20984142,16,97.0
20989220,163,97.0
20990053,24,88.0
20990607,16,84.0
20990770,23,92.0
20991910,39,99.0
20992027,55,100.0
20993138,29,83.0
20996372,134,95.0
20996474,119,94.0
20996996,38,100.0
20997574,11,95.0
20998265,16,97.0
20999025,104,97.0
21005576,13,98.0
21005699,13,94.0
21006224,87,96.0
21006709,12,88.0
21007370,31,97.0
21010072,62,96.0
21010586,16,98.0
21010714,14,100.0
21011427,78,93.0
21011433,12,100.0
21011532,10,88.0
21012649,65,93.0
21014202,11,87.0
21015032,32,96.0
21015347,58,96.0
21015993,18,97.0
21016498,52,99.0
21020862,98,98.0
21025488,25,93.0
21025840,10,100.0
21026272,18,100.0
21027809,153,99.0
21027995,113,99.0
21028192,86,98.0
21029678,44,99.0
21034242,17,99.0
21038471,169,86.0
21038881,44,96.0
21044649,17,98.0
21047121,58,89.0
21053044,14,84.0
21054012,36,96.0
21054217,67,100.0
21055192,11,100.0
21056487,41,93.0
21056510,85,90.0
21056653,81,91.0
21056691,95,87.0
21056884,74,92.0
21062611,31,96.0
21065293,188,88.0
21076625,11,100.0
21079505,85,96.0
21081485,165,98.0
21088999,18,94.0
21089520,157,98.0
21089634,22,95.0
21090094,38,91.0
21091844,45,99.0
21094894,58,96.0
21095257,106,97.0
21097166,137,98.0
21098719,48,95.0
21104475,341,99.0
21108401,43,93.0
21110331,154,95.0
21110408,38,97.0
21110494,84,96.0
21110709,56,99.0
21112291,57,100.0
21112746,30,97.0
21112924,19,94.0
21113189,16,94.0
21116698,106,81.0
21118650,20,100.0
21120547,56,91.0
21122874,40,91.0
21124150,64,91.0
21136144,46,97.0
21136851,20,91.0
21138538,33,92.0
21138717,18,91.0
21139541,47,94.0
21139788,28,99.0
21139869,194,92.0
21141576,24,97.0
21147708,44,93.0
21147943,10,98.0
21148781,11,100.0
21151290,122,96.0
21151898,17,87.0
21161038,126,98.0
21161561,88,99.0
21161707,146,98.0
21163697,13,98.0
21165138,27,90.0
21172187,57,96.0
21172762,185,87.0
21172924,35,92.0
21173134,62,96.0
21173148,23,93.0
21174008,77,95.0
21174566,39,96.0
21174772,13,97.0
21174790,28,98.0
21175036,22,95.0
21175160,71,99.0
21175822,12,100.0
21177156,10,89.0
21178117,25,94.0
21181643,108,96.0
21182937,112,92.0
21183312,18,98.0
21184012,72,98.0
21184173,122,95.0
21184343,52,97.0
