id,hood,zipcode,guests,sqft,price
144148,Manhattan,10009,2,,96
145064,Brooklyn,11211,3,,145
145994,Manhattan,10025,3,,95
148201,Manhattan,10012,4,650.0,175
148259,Brooklyn,11211,6,,451
148825,Manhattan,10025,4,,150
149287,Manhattan,10128,4,1500.0,250
149777,Bronx,10470,2,,69
150804,Manhattan,10002,4,,250
150989,Brooklyn,11211,2,,155
151199,Queens,11103,2,,129
151478,Brooklyn,11211,2,,98
152071,Brooklyn,11215,2,,150
152259,Manhattan,10027,1,,55
152263,Manhattan,10026,8,,300
153405,Brooklyn,11222,2,,125
153780,Manhattan,10003,2,,175
154934,Manhattan,10030,1,,75
154998,Queens,11101,4,,127
155296,Brooklyn,11211,3,,250
157673,Brooklyn,11216,4,,72
158061,Brooklyn,11233,2,,165
158176,Brooklyn,11211,2,,75
158913,Brooklyn,11222,2,,130
158955,Brooklyn,11206,6,,139
159749,Brooklyn,11216,3,,88
159815,Brooklyn,11216,2,,80
159913,Manhattan,10011,2,,150
160994,Manhattan,10009,2,600.0,200
161366,Queens,11377,1,,33
161394,Brooklyn,11211,1,,90
162493,Brooklyn,11211,6,2000.0,450
162508,Brooklyn,11216,4,,130
163809,Manhattan,10027,5,,198
163814,Manhattan,10003,5,550.0,99
164989,Manhattan,10012,2,,140
165080,Brooklyn,11231,10,,500
166006,Manhattan,10025,7,,250
166172,Brooklyn,11207,2,,60
166541,Manhattan,10033,1,,75
166983,Brooklyn,11231,6,,350
167013,Manhattan,10011,2,,205
167017,Brooklyn,11217,4,1500.0,219
168123,Brooklyn,11215,2,,175
168810,Manhattan,10024,4,,175
169063,Manhattan,10009,2,,180
169306,Bronx,10453,2,,37
169464,Brooklyn,11211,4,,85
169483,Brooklyn,11223,4,,106
170420,Manhattan,10029,2,,79
170761,Brooklyn,11217,2,15.0,85
172499,Manhattan,10128,4,1500.0,250
173072,Manhattan,10027,2,,49
173151,Brooklyn,11222,2,,91
173742,Manhattan,10003,5,,400
174527,Brooklyn,11221,4,,150
174966,Manhattan,10025,9,,2000
176135,Brooklyn,11238,2,,97
176653,Manhattan,10003,1,,100
177495,Manhattan,10011,4,550.0,550
177540,Manhattan,10009,1,,147
177606,Manhattan,10016,2,,189
179670,Manhattan,10002,1,,130
179741,Manhattan,10012,6,700.0,75
180201,Brooklyn,11211,2,760.0,90
180507,Queens,11101,4,750.0,250
180717,Manhattan,10025,2,,600
180792,Queens,11101,5,650.0,200
181972,Manhattan,10031,6,,100
182069,Manhattan,10029,3,,120
182095,Manhattan,10012,4,,199
182177,Bronx,10469,8,,125
182649,Brooklyn,11211,2,,70
185266,Brooklyn,11211,1,,70
187566,Brooklyn,11216,2,,99
187986,Manhattan,10011,4,1000.0,250
188661,Brooklyn,11238,3,,170
188674,Manhattan,10003,2,,165
188803,Brooklyn,11217,2,15.0,85
189135,Manhattan,10036,3,,99
189181,Manhattan,10001,2,,255
189732,Brooklyn,11208,8,,169
189787,Brooklyn,11225,2,,99
190267,Manhattan,10021,2,,169
190542,Brooklyn,11205,2,400.0,160
190968,Brooklyn,11238,2,1000.0,215
190974,Brooklyn,11215,3,,130
191075,Manhattan,10009,2,,110
193105,Manhattan,10023,1,,139
193333,Brooklyn,11211,2,,55
193853,Manhattan,10011,2,,149
195123,Manhattan,10032,2,,50
195233,Brooklyn,11226,3,,43
195240,Brooklyn,11226,3,,42
195578,Brooklyn,11206,3,,85
195989,Brooklyn,11215,2,,105
196010,Brooklyn,11215,2,,265
197753,Manhattan,10031,3,,68
197931,Manhattan,10036,2,,175
197942,Brooklyn,11216,4,,99
198028,Queens,11105,1,,50
199312,Brooklyn,11211,2,,100
200645,Manhattan,10021,1,,90
200955,Manhattan,10009,2,,125
201173,Brooklyn,11237,2,,100
201992,Brooklyn,11215,4,675.0,190
202273,Brooklyn,11216,2,,67
203901,Manhattan,10021,4,,190
204065,Brooklyn,11238,6,,248
204833,Brooklyn,11206,2,1000.0,100
205043,Manhattan,10036,4,,150
205485,Brooklyn,11216,3,,145
205735,Brooklyn,11207,1,,41
205867,Brooklyn,11222,3,,120
206316,Brooklyn,11238,2,,157
206473,Brooklyn,11215,4,,175
206772,Brooklyn,11211,2,,195
206957,Brooklyn,11235,4,350.0,70
208122,Manhattan,10002,2,,125
208148,Brooklyn,11211,2,,185
208889,Brooklyn,11221,4,700.0,145
209310,Queens,11104,2,750.0,50
211078,Brooklyn,11222,4,,185
211152,Brooklyn,11211,3,,150
211974,Manhattan,10009,2,,250
212109,Manhattan,10014,1,,80
212178,Manhattan,10036,2,,230
212544,Brooklyn,11215,3,,100
214917,Staten Island,10314,3,,80
215560,Brooklyn,11216,2,,79
215784,Queens,11101,4,350.0,200
216080,Brooklyn,11205,2,,125
217580,Brooklyn,11209,2,,100
218358,Manhattan,10027,1,,80
219066,Brooklyn,11204,2,,110
219922,Manhattan,10027,1,,100
220563,Brooklyn,11216,2,,75
220946,Manhattan,10009,2,,146
221097,Brooklyn,11222,3,,102
222304,Manhattan,10011,2,,199
222913,Manhattan,10002,5,,127
223930,Brooklyn,11238,2,,150
224004,Manhattan,10026,2,1300.0,69
224510,Brooklyn,11217,2,,230
225297,Manhattan,10010,2,250.0,95
225306,Brooklyn,11216,2,,79
225354,Brooklyn,11211,2,,150
225926,Brooklyn,11205,2,,191
225976,Staten Island,10305,3,,75
226021,Brooklyn,11211,5,,220
226334,Manhattan,10002,2,400.0,125
226637,Brooklyn,11217,2,200.0,80
227715,Brooklyn,11216,3,,80
227735,Manhattan,10009,5,,250
228317,Brooklyn,11233,6,925.0,135
228517,Manhattan,10013,2,,110
228925,Brooklyn,11216,2,1200.0,100
228979,Manhattan,10036,1,,130
229367,Queens,11691,2,,89
229668,Queens,11368,1,,60
229874,Brooklyn,11232,2,,200
230321,Brooklyn,11216,3,,99
230877,Manhattan,10029,2,,125
231154,Queens,11434,3,,70
231194,Brooklyn,11217,5,850.0,199
231414,Manhattan,10012,3,,270
232612,Brooklyn,11221,2,,110
233189,Manhattan,10036,2,500.0,179
233348,Manhattan,10009,1,,70
233638,Queens,11385,2,,55
233662,Manhattan,10022,2,750.0,110
234184,Manhattan,10027,8,2400.0,325
234870,Queens,11101,1,,75
235552,Brooklyn,11215,5,,300
235651,Manhattan,10011,3,600.0,110
235951,Manhattan,10017,2,,170
235960,Manhattan,10002,3,,200
236267,Brooklyn,11201,2,,178
236671,Brooklyn,11211,1,,180
236806,Manhattan,10009,4,,160
237127,Manhattan,10010,6,,99
237210,Manhattan,10003,2,800.0,241
239055,Manhattan,10013,2,,300
239733,Queens,11105,1,,75
239766,Manhattan,10002,2,,100
239826,Manhattan,10010,3,,399
239883,Brooklyn,11238,2,,85
239899,Brooklyn,11225,2,775.0,80
240800,Brooklyn,11238,1,,57
241140,Brooklyn,11205,4,1200.0,350
241159,Brooklyn,11205,2,,110
241862,Manhattan,10014,2,,200
242532,Brooklyn,11205,2,,223
242585,Manhattan,10036,2,,175
242643,Brooklyn,11206,5,,137
243229,Brooklyn,11216,2,1200.0,280
243708,Brooklyn,11211,6,,199
245430,Manhattan,10013,5,,499
245544,Bronx,10468,2,0.0,42
245574,Brooklyn,11216,4,,180
246134,Brooklyn,11216,2,,85
246351,Manhattan,10010,2,,135
246916,Queens,11373,2,,79
246938,Manhattan,10002,5,,149
248717,Brooklyn,11215,2,,65
248865,Brooklyn,11222,4,,199
248871,Manhattan,10014,8,,700
249414,Manhattan,10014,2,900.0,246
249618,Manhattan,10033,1,,125
249804,Manhattan,10024,4,900.0,130
249867,Brooklyn,11233,1,,100
250259,Brooklyn,11249,2,1000.0,180
250311,Brooklyn,11216,1,,150
