category,date,downloads
Windows,2019-10-27,41027
Windows,2019-10-28,71715
Windows,2019-10-29,79205
Windows,2019-10-30,85343
Windows,2019-10-31,91696
Windows,2019-11-01,81020
Windows,2019-11-02,50317
Windows,2019-11-03,51059
Windows,2019-11-04,84347
Windows,2019-11-05,85991
Windows,2019-11-06,84345
Windows,2019-11-07,83989
Windows,2019-11-08,81226
Windows,2019-11-09,53443
Windows,2019-11-10,42677
Windows,2019-11-11,77744
Windows,2019-11-12,95360
Windows,2019-11-13,92458
Windows,2019-11-14,86715
Windows,2019-11-15,82159
Windows,2019-11-16,50882
Windows,2019-11-17,48778
Windows,2019-11-18,83033
Windows,2019-11-19,89702
Windows,2019-11-20,90447
Windows,2019-11-21,90495
Windows,2019-11-22,87206
Windows,2019-11-23,53878
Windows,2019-11-24,44748
Windows,2019-11-25,82040
Windows,2019-11-26,97045
Windows,2019-11-27,86887
Windows,2019-11-28,74548
Windows,2019-11-29,67414
Windows,2019-11-30,51042
Windows,2019-12-01,48434
Windows,2019-12-02,86896
Windows,2019-12-03,95323
Windows,2019-12-04,91485
Windows,2019-12-05,91133
Windows,2019-12-06,87031
Windows,2019-12-07,53190
Windows,2019-12-08,47146
Windows,2019-12-09,74641
Windows,2019-12-10,81051
Windows,2019-12-11,85922
Windows,2019-12-12,84668
Windows,2019-12-13,74677
Windows,2019-12-14,47199
Windows,2019-12-15,42199
Windows,2019-12-16,75896
Windows,2019-12-17,80710
Windows,2019-12-18,78592
Windows,2019-12-19,77197
Windows,2019-12-20,68562
Windows,2019-12-21,39615
Windows,2019-12-22,36534
Windows,2019-12-23,57584
Windows,2019-12-24,49309
Windows,2019-12-25,39885
Windows,2019-12-26,51743
Windows,2019-12-27,54297
Windows,2019-12-28,43631
Windows,2019-12-29,36239
Windows,2019-12-30,53740
Windows,2019-12-31,49271
Windows,2020-01-01,35773
Windows,2020-01-02,62661
Windows,2020-01-03,64372
Windows,2020-01-04,42728
Windows,2020-01-05,38878
Windows,2020-01-06,72224
Windows,2020-01-07,76931
Windows,2020-01-08,81437
Windows,2020-01-09,78829
Windows,2020-01-10,78230
Windows,2020-01-11,52410
Windows,2020-01-12,44520
Windows,2020-01-13,72323
Windows,2020-01-14,81326
Windows,2020-01-15,84819
Windows,2020-01-16,87082
Windows,2020-01-17,86301
Windows,2020-01-18,52310
Windows,2020-01-19,49202
Windows,2020-01-20,69460
Windows,2020-01-21,83012
Windows,2020-01-22,97970
Windows,2020-01-23,88381
Windows,2020-01-24,80891
Windows,2020-01-25,48736
Windows,2020-01-26,44177
Windows,2020-01-27,77457
Windows,2020-01-28,89646
Windows,2020-01-29,84756
Windows,2020-01-30,88516
Windows,2020-01-31,88966
Windows,2020-02-01,53528
Windows,2020-02-02,48209
Windows,2020-02-03,82419
Windows,2020-02-04,99694
Windows,2020-02-05,97227
Windows,2020-02-06,93527
Windows,2020-02-07,86308
Windows,2020-02-08,56405
Windows,2020-02-09,50788
Windows,2020-02-10,90578
Windows,2020-02-11,102782
Windows,2020-02-12,104153
Windows,2020-02-13,102104
Windows,2020-02-14,94559
Windows,2020-02-15,59992
Windows,2020-02-16,52073
Windows,2020-02-17,79654
Windows,2020-02-18,97679
Windows,2020-02-19,97948
Windows,2020-02-20,95700
Windows,2020-02-21,92812
Windows,2020-02-22,56361
Windows,2020-02-23,56887
Windows,2020-02-24,90462
Windows,2020-02-25,93433
Windows,2020-02-26,93801
Windows,2020-02-27,92990
Windows,2020-02-28,87499
Windows,2020-02-29,56420
Windows,2020-03-01,50591
Windows,2020-03-02,86654
Windows,2020-03-03,104881
Windows,2020-03-04,96719
Windows,2020-03-05,98927
Windows,2020-03-06,94195
Windows,2020-03-07,57566
Windows,2020-03-08,48298
Windows,2020-03-09,85099
Windows,2020-03-10,93116
Windows,2020-03-11,91506
Windows,2020-03-12,97976
Windows,2020-03-13,86361
Windows,2020-03-14,55352
